last_100_avg, max_score_log
0.0,0
0.0,0
0.0,0
0.25,1
0.4,1
0.3333333333333333,1
0.2857142857142857,1
0.25,1
0.2222222222222222,1
0.3,1
0.2727272727272727,1
0.25,1
0.23076923076923078,1
0.21428571428571427,1
0.2,1
0.25,1
0.23529411764705882,1
0.2222222222222222,1
0.21052631578947367,1
0.2,1
0.19047619047619047,1
0.22727272727272727,1
0.21739130434782608,1
0.20833333333333334,1
0.2,1
0.19230769230769232,1
0.18518518518518517,1
0.17857142857142858,1
0.20689655172413793,1
0.2,1
0.1935483870967742,1
0.1875,1
0.18181818181818182,1
0.17647058823529413,1
0.17142857142857143,1
0.16666666666666666,1
0.16216216216216217,1
0.15789473684210525,1
0.15384615384615385,1
0.175,1
0.17073170731707318,1
0.16666666666666666,1
0.16279069767441862,1
0.1590909090909091,1
0.15555555555555556,1
0.15217391304347827,1
0.14893617021276595,1
0.14583333333333334,1
0.14285714285714285,1
0.14,1
0.13725490196078433,1
0.1346153846153846,1
0.1320754716981132,1
0.12962962962962962,1
0.12727272727272726,1
0.14285714285714285,1
0.14035087719298245,1
0.13793103448275862,1
0.13559322033898305,1
0.13333333333333333,1
0.13114754098360656,1
0.14516129032258066,1
0.14285714285714285,1
0.140625,1
0.13846153846153847,1
0.13636363636363635,1
0.13432835820895522,1
0.16176470588235295,2
0.15942028985507245,2
0.15714285714285714,2
0.15492957746478872,2
0.1527777777777778,2
0.1506849315068493,2
0.14864864864864866,2
0.14666666666666667,2
0.14473684210526316,2
0.14285714285714285,2
0.14102564102564102,2
0.13924050632911392,2
0.1625,2
0.16049382716049382,2
0.15853658536585366,2
0.1566265060240964,2
0.15476190476190477,2
0.15294117647058825,2
0.1511627906976744,2
0.14942528735632185,2
0.14772727272727273,2
0.15730337078651685,2
0.15555555555555556,2
0.15384615384615385,2
0.15217391304347827,2
0.16129032258064516,2
0.1595744680851064,2
0.16842105263157894,2
0.16666666666666666,2
0.16494845360824742,2
0.16326530612244897,2
0.16161616161616163,2
0.16,2
0.16,2
0.16,2
0.16,2
0.15,2
0.14,2
0.14,2
0.14,2
0.14,2
0.15,2
0.15,2
0.15,2
0.15,2
0.15,2
0.15,2
0.15,2
