last_100_avg, max_score_log
1.0,1
0.5,1
0.3333333333333333,1
0.25,1
0.2,1
0.5,2
0.42857142857142855,2
0.375,2
0.3333333333333333,2
0.4,2
0.36363636363636365,2
0.3333333333333333,2
0.3076923076923077,2
0.2857142857142857,2
0.26666666666666666,2
0.25,2
0.23529411764705882,2
0.2222222222222222,2
0.21052631578947367,2
0.2,2
0.19047619047619047,2
0.18181818181818182,2
0.21739130434782608,2
0.20833333333333334,2
0.2,2
0.19230769230769232,2
0.18518518518518517,2
0.17857142857142858,2
0.1724137931034483,2
0.16666666666666666,2
0.16129032258064516,2
0.15625,2
0.15151515151515152,2
0.14705882352941177,2
0.14285714285714285,2
0.1388888888888889,2
0.13513513513513514,2
0.13157894736842105,2
0.1282051282051282,2
0.125,2
0.12195121951219512,2
0.11904761904761904,2
0.11627906976744186,2
0.11363636363636363,2
0.1111111111111111,2
0.10869565217391304,2
0.10638297872340426,2
0.10416666666666667,2
0.12244897959183673,2
0.12,2
0.11764705882352941,2
0.11538461538461539,2
0.11320754716981132,2
0.1111111111111111,2
0.12727272727272726,2
0.125,2
0.12280701754385964,2
0.1206896551724138,2
0.11864406779661017,2
0.11666666666666667,2
0.11475409836065574,2
0.11290322580645161,2
0.1111111111111111,2
0.109375,2
0.1076923076923077,2
0.10606060606060606,2
0.1044776119402985,2
0.10294117647058823,2
0.11594202898550725,2
0.11428571428571428,2
0.11267605633802817,2
0.1111111111111111,2
0.1095890410958904,2
0.10810810810810811,2
0.10666666666666667,2
0.10526315789473684,2
0.1038961038961039,2
0.10256410256410256,2
0.10126582278481013,2
0.1125,2
0.1111111111111111,2
0.12195121951219512,2
0.12048192771084337,2
0.11904761904761904,2
0.11764705882352941,2
0.11627906976744186,2
0.11494252873563218,2
0.11363636363636363,2
0.11235955056179775,2
0.1111111111111111,2
0.10989010989010989,2
0.10869565217391304,2
0.10752688172043011,2
0.10638297872340426,2
0.10526315789473684,2
0.10416666666666667,2
0.10309278350515463,2
0.10204081632653061,2
0.10101010101010101,2
0.1,2
0.09,2
0.09,2
0.1,2
0.1,2
0.1,2
0.08,2
0.08,2
0.08,2
0.08,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.08,2
0.08,2
0.08,2
0.08,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.12,2
0.12,2
0.12,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.11,2
0.12,2
0.12,2
0.12,2
0.12,2
0.12,2
0.12,2
0.12,2
0.12,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.11,2
0.11,2
0.1,2
0.1,2
0.11,2
0.12,2
0.12,2
0.12,2
0.12,2
0.14,2
0.14,2
0.15,2
0.16,2
0.17,2
0.17,2
0.17,2
0.17,2
0.18,2
0.17,2
0.17,2
0.17,2
0.17,2
0.16,2
0.16,2
0.16,2
0.16,2
0.16,2
0.16,2
0.16,2
0.15,2
0.15,2
0.17,2
0.17,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.19,2
0.19,2
0.19,2
0.2,2
0.2,2
0.2,2
0.2,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.17,2
0.16,2
0.16,2
0.16,2
0.16,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.18,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.17,2
0.16,2
0.17,2
0.17,2
0.17,2
0.16,2
0.15,2
0.15,2
0.15,2
0.15,2
0.13,2
0.13,2
0.12,2
0.11,2
0.1,2
0.1,2
0.1,2
0.1,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.08,2
0.08,2
0.1,2
0.12,2
0.12,2
0.12,2
0.13,2
0.13,2
0.13,2
0.11,2
0.11,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.09,2
0.09,2
0.09,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.1,2
0.1,2
0.09,2
0.09,2
0.09,2
0.09,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.09,2
0.09,2
0.09,2
0.09,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.1,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.1,2
0.1,2
0.1,2
0.11,2
0.11,2
0.11,2
0.09,2
0.07,2
0.07,2
0.07,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.08,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.06,2
0.06,2
0.06,2
0.07,2
0.07,2
0.07,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.06,2
0.05,2
0.05,2
0.07,2
0.07,2
0.07,2
0.07,2
0.07,2
0.08,2
0.08,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.09,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.11,2
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.13,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.13,3
0.13,3
0.14,3
0.14,3
0.14,3
0.16,3
0.16,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.16,3
0.16,3
0.16,3
0.16,3
0.17,3
0.17,3
0.17,3
0.17,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.16,3
0.16,3
0.15,3
0.15,3
0.16,3
0.16,3
0.17,3
0.17,3
0.17,3
0.17,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.12,3
0.12,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.12,3
0.12,3
0.11,3
0.11,3
0.11,3
0.09,3
0.09,3
0.08,3
0.08,3
0.08,3
0.08,3
0.09,3
0.1,3
0.1,3
0.1,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.1,3
0.11,3
0.1,3
0.1,3
0.1,3
0.1,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.09,3
0.08,3
0.08,3
0.08,3
0.09,3
0.09,3
0.1,3
0.1,3
0.1,3
0.1,3
0.1,3
0.1,3
0.1,3
0.11,3
0.11,3
0.11,3
0.11,3
0.11,3
0.11,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.11,3
0.11,3
0.1,3
0.1,3
0.1,3
0.11,3
0.11,3
0.11,3
0.11,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.11,3
0.11,3
