last_100_avg, max_score_log
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.07692307692307693,1
0.07142857142857142,1
0.06666666666666667,1
0.125,1
0.11764705882352941,1
0.1111111111111111,1
0.10526315789473684,1
0.1,1
0.09523809523809523,1
0.09090909090909091,1
0.08695652173913043,1
0.08333333333333333,1
0.12,1
0.11538461538461539,1
0.1111111111111111,1
0.10714285714285714,1
0.10344827586206896,1
0.1,1
0.0967741935483871,1
0.09375,1
0.09090909090909091,1
0.08823529411764706,1
0.08571428571428572,1
0.08333333333333333,1
0.08108108108108109,1
0.07894736842105263,1
0.07692307692307693,1
0.075,1
0.07317073170731707,1
0.07142857142857142,1
0.06976744186046512,1
0.06818181818181818,1
0.06666666666666667,1
0.06521739130434782,1
0.06382978723404255,1
0.0625,1
0.061224489795918366,1
0.06,1
0.058823529411764705,1
0.057692307692307696,1
0.05660377358490566,1
0.05555555555555555,1
0.05454545454545454,1
0.05357142857142857,1
0.05263157894736842,1
0.05172413793103448,1
0.05084745762711865,1
0.05,1
0.04918032786885246,1
0.04838709677419355,1
0.047619047619047616,1
0.046875,1
0.046153846153846156,1
0.045454545454545456,1
0.04477611940298507,1
0.04411764705882353,1
0.043478260869565216,1
0.04285714285714286,1
0.04225352112676056,1
0.041666666666666664,1
0.0410958904109589,1
0.04054054054054054,1
0.04,1
0.039473684210526314,1
0.03896103896103896,1
0.038461538461538464,1
0.0379746835443038,1
0.0375,1
0.037037037037037035,1
0.036585365853658534,1
0.04819277108433735,1
0.047619047619047616,1
0.047058823529411764,1
0.046511627906976744,1
0.04597701149425287,1
0.045454545454545456,1
0.0449438202247191,1
0.05555555555555555,1
0.054945054945054944,1
0.06521739130434782,1
0.06451612903225806,1
0.07446808510638298,1
0.08421052631578947,1
0.08333333333333333,1
0.1134020618556701,3
0.1326530612244898,3
0.1414141414141414,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.15,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
