last_100_avg, max_score_log
0.0,0
0.0,0
0.0,0
0.0,0
0.2,1
0.16666666666666666,1
0.14285714285714285,1
0.125,1
0.1111111111111111,1
0.1,1
0.09090909090909091,1
0.25,2
0.23076923076923078,2
0.21428571428571427,2
0.26666666666666666,2
0.25,2
0.23529411764705882,2
0.2222222222222222,2
0.21052631578947367,2
0.2,2
0.19047619047619047,2
0.18181818181818182,2
0.17391304347826086,2
0.16666666666666666,2
0.16,2
0.15384615384615385,2
0.14814814814814814,2
0.17857142857142858,2
0.1724137931034483,2
0.2,2
0.1935483870967742,2
0.1875,2
0.18181818181818182,2
0.17647058823529413,2
0.17142857142857143,2
0.16666666666666666,2
0.16216216216216217,2
0.18421052631578946,2
0.20512820512820512,2
0.2,2
0.1951219512195122,2
0.19047619047619047,2
0.18604651162790697,2
0.18181818181818182,2
0.17777777777777778,2
0.17391304347826086,2
0.1702127659574468,2
0.16666666666666666,2
0.16326530612244897,2
0.16,2
0.1568627450980392,2
0.15384615384615385,2
0.16981132075471697,2
0.18518518518518517,2
0.18181818181818182,2
0.17857142857142858,2
0.17543859649122806,2
0.1896551724137931,2
0.1864406779661017,2
0.18333333333333332,2
0.18032786885245902,2
0.1774193548387097,2
0.19047619047619047,2
0.203125,2
0.2153846153846154,2
0.21212121212121213,2
0.208955223880597,2
0.20588235294117646,2
0.2318840579710145,2
0.22857142857142856,2
0.22535211267605634,2
0.2222222222222222,2
0.2328767123287671,2
0.22972972972972974,2
0.22666666666666666,2
0.2236842105263158,2
0.22077922077922077,2
0.21794871794871795,2
0.22784810126582278,2
0.225,2
0.2222222222222222,2
0.21951219512195122,2
0.21686746987951808,2
0.21428571428571427,2
0.21176470588235294,2
0.20930232558139536,2
0.20689655172413793,2
0.20454545454545456,2
0.20224719101123595,2
0.2,2
0.1978021978021978,2
0.21739130434782608,2
0.23655913978494625,2
0.23404255319148937,2
0.23157894736842105,2
0.22916666666666666,2
0.2268041237113402,2
0.22448979591836735,2
0.2222222222222222,2
0.22,2
0.22,2
0.22,2
0.22,2
0.22,2
0.21,2
0.21,2
0.21,2
0.21,2
0.21,2
0.22,2
0.22,2
0.2,2
0.21,2
0.21,2
0.2,2
