last_100_avg, max_score_log
1.0,1
0.5,1
0.3333333333333333,1
0.25,1
0.2,1
0.16666666666666666,1
0.2857142857142857,1
0.25,1
0.2222222222222222,1
0.2,1
0.18181818181818182,1
0.16666666666666666,1
0.15384615384615385,1
0.21428571428571427,1
0.2,1
0.1875,1
0.17647058823529413,1
0.16666666666666666,1
0.15789473684210525,1
0.2,1
0.19047619047619047,1
0.18181818181818182,1
0.17391304347826086,1
0.16666666666666666,1
0.16,1
0.15384615384615385,1
0.14814814814814814,1
0.14285714285714285,1
0.13793103448275862,1
0.13333333333333333,1
0.12903225806451613,1
0.125,1
0.12121212121212122,1
0.11764705882352941,1
0.11428571428571428,1
0.1111111111111111,1
0.10810810810810811,1
0.10526315789473684,1
0.10256410256410256,1
0.1,1
0.0975609756097561,1
0.09523809523809523,1
0.09302325581395349,1
0.09090909090909091,1
0.08888888888888889,1
0.10869565217391304,1
0.10638297872340426,1
0.10416666666666667,1
0.10204081632653061,1
0.1,1
0.09803921568627451,1
0.09615384615384616,1
0.09433962264150944,1
0.09259259259259259,1
0.10909090909090909,1
0.14285714285714285,2
0.14035087719298245,2
0.13793103448275862,2
0.13559322033898305,2
0.13333333333333333,2
0.13114754098360656,2
0.12903225806451613,2
0.12698412698412698,2
0.125,2
0.13846153846153847,2
0.13636363636363635,2
0.1791044776119403,3
0.17647058823529413,3
0.17391304347826086,3
0.17142857142857143,3
0.16901408450704225,3
0.16666666666666666,3
0.1643835616438356,3
0.16216216216216217,3
0.17333333333333334,3
0.18421052631578946,3
0.18181818181818182,3
0.1794871794871795,3
0.17721518987341772,3
0.175,3
0.18518518518518517,3
0.18292682926829268,3
0.18072289156626506,3
0.19047619047619047,3
0.18823529411764706,3
0.19767441860465115,3
0.19540229885057472,3
0.19318181818181818,3
0.19101123595505617,3
0.18888888888888888,3
0.18681318681318682,3
0.18478260869565216,3
0.1935483870967742,3
0.19148936170212766,3
0.18947368421052632,3
0.1875,3
0.1958762886597938,3
0.19387755102040816,3
0.1919191919191919,3
0.19,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.18,3
0.17,3
0.19,3
0.19,3
0.2,3
0.2,3
0.2,3
0.19,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.22,3
0.22,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.24,3
0.26,3
0.26,3
0.26,3
0.26,3
0.26,3
0.26,3
0.25,3
0.25,3
0.25,3
0.25,3
0.25,3
0.25,3
0.25,3
0.25,3
0.26,3
0.25,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.22,3
0.22,3
0.19,3
0.19,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.19,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.2,3
0.2,3
0.21,3
0.2,3
0.21,3
0.21,3
0.21,3
0.21,3
0.22,3
0.22,3
0.22,3
0.22,3
0.21,3
0.21,3
0.21,3
0.21,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.2,3
0.2,3
0.18,3
0.2,3
0.19,3
0.19,3
0.19,3
0.19,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.16,3
0.18,3
0.17,3
0.17,3
0.17,3
0.18,3
0.18,3
0.18,3
0.17,3
0.15,3
0.15,3
0.15,3
0.16,3
0.16,3
0.18,3
0.18,3
0.18,3
0.18,3
0.19,3
0.19,3
0.19,3
0.2,3
0.2,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.22,3
0.22,3
0.22,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.17,3
0.17,3
0.16,3
0.15,3
0.17,3
0.17,3
0.16,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.18,3
0.18,3
0.18,3
0.18,3
0.21,3
0.21,3
0.21,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.23,3
0.24,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.24,3
0.25,3
0.25,3
0.23,3
0.23,3
0.23,3
0.24,3
0.23,3
0.23,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.23,3
0.23,3
0.21,3
0.21,3
0.21,3
0.21,3
0.2,3
0.2,3
0.2,3
0.19,3
0.19,3
0.17,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.2,3
0.19,3
0.19,3
0.21,3
0.22,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.23,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.22,3
0.23,3
0.24,3
0.23,3
0.23,3
0.24,3
0.24,3
0.24,3
0.24,3
0.24,3
0.23,3
0.24,3
0.24,3
0.24,3
0.22,3
0.22,3
0.22,3
0.22,3
0.22,3
0.22,3
0.22,3
0.23,3
0.23,3
0.23,3
0.24,3
0.24,3
0.24,3
0.21,3
0.2,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.21,3
0.21,3
0.21,3
0.21,3
0.21,3
0.2,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.18,3
0.18,3
0.18,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.18,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.17,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.17,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.19,3
0.19,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.19,3
0.19,3
0.18,3
0.17,3
0.17,3
0.17,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.15,3
0.15,3
0.15,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.13,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.13,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.13,3
0.13,3
0.12,3
0.12,3
0.1,3
0.1,3
0.1,3
0.1,3
0.11,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.12,3
0.13,3
0.13,3
0.14,3
0.14,3
0.14,3
0.13,3
0.14,3
0.14,3
0.14,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.15,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.17,3
0.17,3
0.17,3
0.17,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.2,3
0.2,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.19,3
0.18,3
0.18,3
0.18,3
0.18,3
0.18,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.17,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.16,3
0.15,3
0.15,3
0.15,3
0.15,3
0.16,3
0.15,3
0.16,3
0.16,3
0.17,3
0.17,3
0.17,3
0.16,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.12,3
0.14,3
0.14,3
0.14,3
0.13,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.15,3
0.15,3
0.15,3
0.15,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.14,3
0.13,3
0.13,3
0.13,3
